instrumentid,name,description
C-00433,General Electric Company,
C-0R29,"Intuitive Surgical, Inc.",
C-004110,Rio Tinto Group,
C-0R1A,"Applied Materials, Inc.",
C-0VQD,Chubb Limited,
C-0195Y,"Mondelez International, Inc.",
C-CL49,CSL Limited,
C-0LCE,"The TJX Companies, Inc.",
C-MEMX0,"Marsh & McLennan Companies, Inc.",
C-0044S3,British American Tobacco p.l.c.,
C-0HFN,"Analog Devices, Inc.",
C-0IDR,"EOG Resources, Inc.",
C-0003J3,Allianz SE,
C-004513,L'Oréal S.A.,
C-0KTI,Enbridge Inc.,
C-0L5N,"ServiceNow, Inc.",
C-0004Y1,"Altria Group, Inc.",
C-0R2M,"Regeneron Pharmaceuticals, Inc.",
C-3690,Meituan,
C-0QZU,Vertex Pharmaceuticals Incorporated,
C-0W2Y,Booking Holdings Inc.,
C-0K92,Northrop Grumman Corporation,
C-6861,Keyence Corporation,
C-0069Z1,Schneider Electric S.E.,
C-0LD8,Target Corporation,
C-0KOC,The Progressive Corporation,
C-15351,Schlumberger Limited,
C-0ID1,Duke Energy Corporation,
C-0R2S,Stryker Corporation,
C-005311,L'Air Liquide S.A.,
C-0HO0,Blackstone Inc.,
C-CP0,Canadian Pacific Railway Limited,
C-CNI,Canadian National Railway Company,
C-0129U0,3M Company,
C-0J6Z,Humana Inc.,
C-CNQ,Canadian Natural Resources Limited,
C-0J8W,Illinois Tool Works Inc.,
C-0L8A,The Southern Company,
C-0KVV,Airbus SE,
C-0HRJ,CSX Corporation,
C-0KEF,"The PNC Financial Services Group, Inc.",
C-0JT5,Lam Research Corporation,
C-0009Y1,"Micron Technology, Inc.",
C-0009Y4,Zurich Insurance Group AG,
C-0M3Q,Zoetis Inc.,
C-0LTG,"Waste Management, Inc.",
C-00566,GSK plc,
C-0UKH,Bank of Montreal,
C-04704,Occidental Petroleum Corporation,
C-86370,National Australia Bank Limited,
C-0R19,"Becton, Dickinson and Company",
C-0Y3K,Eaton Corporation plc,
C-0JYA,Marathon Petroleum Corporation,
C-0HBH,"Air Products and Chemicals, Inc.",
C-0MPH,Deutsche Telekom AG,
C-0HIT,"Iberdrola, S.A.",
C-0LHY,U.S. Bancorp,
C-0XHL,Aon plc,
C-0KEH,Brookfield Asset Management Inc.,
C-0HR2,CME Group Inc.,
C-0HOY,Boston Scientific Corporation,
C-0IP9,"Fiserv, Inc.",
C-0UKI,The Bank of Nova Scotia,
C-0QSW,Infosys Limited,
C-0009J3,UBS Group AG,
C-0HKH,Truist Financial Corporation,
C-0I4W,Crown Castle Inc.,
C-0K1Y,"Mitsubishi UFJ Financial Group, Inc.",
C-0IUC,General Dynamics Corporation,
C-000982,Colgate-Palmolive Company,
C-0L5V,The Sherwin-Williams Company,
C-0II4,"Equinix, Inc.",
C-0L7L,SoftBank Group Corp.,
C-0K8M,Norfolk Southern Corporation,
C-004522,Compagnie Financière Richemont SA,
C-0353N,Glencore plc,
C-0IC7,Dollar General Corporation,
C-0H8X,"Activision Blizzard, Inc.",
C-0125I2,BNP Paribas SA,
C-15,ICICI Bank Limited,
C-0JC3,"Intercontinental Exchange, Inc.",
C-4501,"Daiichi Sankyo Company, Limited",
C-0QF,"Moderna, Inc.",
C-0KIX,Pioneer Natural Resources Company,
C-0014,Ford Motor Company,
C-0LBF,Vale S.A.,
C-0R33,Emerson Electric Co.,
C-0KAB,"O'Reilly Automotive, Inc.",
C-0116R1,General Motors Company,
C-0JPO,KLA Corporation,
C-0LVV,Westpac Banking Corporation,
C-360V,China Construction Bank Corporation,
C-0LK6,Valero Energy Corporation,
C-0JZU,McKesson Corporation,
C-81KX,RELX PLC,
C-0R2O,Freeport-McMoRan Inc.,
C-0JQQ,Archer-Daniels-Midland Company,
C-10,Housing Development Finance Corporation Limited,
C-0J1R,"HCA Healthcare, Inc.",
C-0203Z,Vinci SA,
C-0008,Mercedes-Benz Group AG,
C-0K0X,"MetLife, Inc.",
C-0113W,Atlas Copco AB,
C-001X,Bayer Aktiengesellschaft,
C-0QY9,Suncor Energy Inc.,
C-0KHZ,Phillips 66,
C-0JTM,The Estée Lauder Companies Inc.,
C-0200,AXA SA,
C-0IC9,"Dominion Energy, Inc.",
C-02028,EssilorLuxottica Société anonyme,
C-0000M,ABB Ltd,
C-0HVB,Centene Corporation,
C-0L5A,Sempra,
C-0K36,Moody's Corporation,
C-0KF5,"Palo Alto Networks, Inc.",
C-0LBP,"Synopsys, Inc.",
C-0A1W,"Corteva, Inc.",
C-9433,KDDI Corporation,
C-0HJF,"Autodesk, Inc.",
C-0011M,"Hitachi, Ltd.",
C-0HJL,"AutoZone, Inc.",
C-010N,"American International Group, Inc.",
C-0R1X,"General Mills, Inc.",
C-0KS3,Public Storage,
C-AAND,Australia and New Zealand Banking Group Limited,
C-WOP,Woodside Energy Group Ltd,
C-3RB,Reckitt Benckiser Group plc,
C-0HFB,Amphenol Corporation,
C-0HEC,"American Electric Power Company, Inc.",
C-DC4,"DexCom, Inc.",
C-0003R2,Anheuser-Busch InBev SA/NV,
C-000893,Anglo American plc,
C-0KXM,"Roper Technologies, Inc.",
C-TEC11,TC Energy Corporation,
C-0Y7S,Johnson Controls International plc,
C-0205D0,Hermès International Société en commandite par actions,
C-0L3H,"L3Harris Technologies, Inc.",
C-1RH,"Recruit Holdings Co., Ltd.",
C-0044X0,BASF SE,
C-013A0,"JD.com, Inc.",
C-0138Y7,DBS Group Holdings Ltd,
C-0REN,Edwards Lifesciences Corporation,
C-0K85,"Nintendo Co., Ltd.",
C-0HS2,"Cadence Design Systems, Inc.",
C-0HT4,Capital One Financial Corporation,
C-0056L,"Banco Santander, S.A.",
C-0KHP,Petróleo Brasileiro S.A. - Petrobras,
C-0R03,"The Travelers Companies, Inc.",
C-0JYW,"Marriott International, Inc.",
C-0194G,ING Groep N.V.,
C-0HW4,"Charter Communications, Inc.",
C-11203,Al Rajhi Banking and Investment Corporation,
C-0HAV,"Agilent Technologies, Inc.",
C-0A28,Prosus N.V.,
C-0NHS,Nutrien Ltd.,
C-0EDE,NXP Semiconductors N.V.,
C-0K3H,"Motorola Solutions, Inc.",
C-BC50,National Grid plc,
C-0I8W,Devon Energy Corporation,
C-0UNI,Canadian Imperial Bank of Commerce,
C-80350,Tokyo Electron Limited,
C-0JQZ,Kimberly-Clark Corporation,
C-0LC6,Sysco Corporation,
C-0H68,Aflac Incorporated,
C-0NC5,Investor AB (publ),
C-0R1B,Biogen Inc.,
C-0A1U,"Uber Technologies, Inc.",
C-0K0E,"MercadoLibre, Inc.",
C-4063,"Shin-Etsu Chemical Co., Ltd.",
C-0JDM,IQVIA Holdings Inc.,
C-0QYE,"Enphase Energy, Inc.",
C-0VHA,Shopify Inc.,
C-0NRE,Enel SpA,
C-0RN3,Takeda Pharmaceutical Company Limited,
C-3HM,MSCI Inc.,
C-0Y2S,Trane Technologies plc,
C-0JVT,Lululemon Athletica Inc.,
C-0KFE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,
C-0HXW,"Chipotle Mexican Grill, Inc.",
C-0K19,Microchip Technology Incorporated,
C-0LXB,"The Williams Companies, Inc.",
C-0HYJ,Cintas Corporation,
C-00100,FedEx Corporation,
C-4M4,Macquarie Group Limited,
C-0ITL,Arthur J. Gallagher & Co.,
C-020440,Kering SA,
C-0KRX,"Prudential Financial, Inc.",
C-0LAF,"Sumitomo Mitsui Financial Group, Inc.",
C-0HAT,Pernod Ricard SA,
C-0QNO,Lonza Group AG,
C-0REP,"Constellation Brands, Inc.",
C-0KED,Infineon Technologies AG,
C-0L6P,"Simon Property Group, Inc.",
C-0K34,Monster Beverage Corporation,
C-0KGE,"Paychex, Inc.",
C-23170,"Hon Hai Precision Industry Co., Ltd.",
C-0VQJ,TE Connectivity Ltd.,
C-0KUE,Realty Income Corporation,
C-29680,Hong Kong Exchanges and Clearing Limited,
C-0J50,Hess Corporation,
C-AP34,Compass Group PLC,
C-0ILW,"Fidelity National Information Services, Inc.",
C-0063P0,Safran SA,
C-ACTA2,Alimentation Couche-Tard Inc.,
C-0IFA,Ecolab Inc.,
C-012930,Mitsubishi Corporation,
C-0KFZ,Parker-Hannifin Corporation,
C-0H3Q,Deutsche Post AG,
C-AIRBW,"Airbnb, Inc.",
C-0QMA,Sika AG,
C-0HWH,"Cheniere Energy, Inc.",
C-0IJN,Exelon Corporation,
C-6367,"Daikin Industries,Ltd.",
C-0J5I,Hilton Worldwide Holdings Inc.,
C-0J5T,"Honda Motor Co., Ltd.",
C-0J8Z,"Illumina, Inc.",
C-0M1R,Xcel Energy Inc.,
C-0HC7,Albemarle Corporation,
C-0029K3,"Mitsui & Co., Ltd.",
C-0JR2,"Kinder Morgan, Inc.",
C-0IR9,"Fortinet, Inc.",
C-0K9L,Nucor Corporation,
C-CC1G,Carrier Global Corporation,
C-014210,Newmont Corporation,
C-0IC8,"Dollar Tree, Inc.",
C-0EW0,Intesa Sanpaolo S.p.A.,
C-0IFX,Electronic Arts Inc.,
C-0HF6,"Ameriprise Financial, Inc.",
C-0A1S,Dow Inc.,
C-87660,"Tokio Marine Holdings, Inc.",
C-0UBI,"Marvell Technology, Inc.",
C-0N9S,Eni S.p.A.,
C-0A2B,"Banco Bilbao Vizcaya Argentaria, S.A.",
C-UI51,"Waste Connections, Inc.",
C-5325F,Tata Consultancy Services Limited,
C-0HCZ,The Allstate Corporation,
C-0KET,PACCAR Inc,
C-0ICQ,"DuPont de Nemours, Inc.",
C-0014M9,"Yum! Brands, Inc.",
C-80012,ITOCHU Corporation,
C-0166Z0,SK hynix Inc.,
C-A1ZE,Lloyds Banking Group plc,
C-0L9H,Equinor ASA,
C-7741,HOYA Corporation,
C-0L95,"Block, Inc.",
C-0J8P,"IDEXX Laboratories, Inc.",
C-WES20,Wesfarmers Limited,
C-0I58,Cummins Inc.,
C-0KXO,"Ross Stores, Inc.",
C-000042,Nordea Bank Abp,
C-0R23,Halliburton Company,
C-0HLQ,The Bank of New York Mellon Corporation,
C-0YP5,Adyen N.V.,
C-CSGP,"CoStar Group, Inc.",
C-0JS2,The Kroger Co.,
C-0V5H,Manulife Financial Corporation,
C-38020,"Fast Retailing Co., Ltd.",
C-0REK,TransDigm Group Incorporated,
C-0Q0F,Nippon Telegraph and Telephone Corporation,
C-0J4X,The Hershey Company,
C-0LQQ,Vodafone Group Public Limited Company,
C-0KW4,ResMed Inc.,
C-0K10,Mettler-Toledo International Inc.,
C-0009X5,Bayerische Motoren Werke Aktiengesellschaft,
C-0HF7,"AMETEK, Inc.",
C-PDD4,Pinduoduo Inc.,
C-0067,Danone S.A.,
C-SNOF,Snowflake Inc.,
C-0I35,"Consolidated Edison, Inc.",
C-11801,The Saudi National Bank,
C-0KYZ,SBA Communications Corporation,
C-OEVC,Otis Worldwide Corporation,
C-38660,Experian plc,
C-0LUS,Welltower Inc.,
C-0P6N,Volkswagen AG,
C-0Z1W,KKR & Co. Inc.,
C-0067R1,Stellantis N.V.,
C-0KC4,ON Semiconductor Corporation,
C-0H3T,Deutsche Börse AG,
C-23180,"Ping An Insurance (Group) Company of China, Ltd.",
C-24540,MediaTek Inc.,
C-1KN,VICI Properties Inc.,
C-0056J,AB Volvo (publ),
C-0HHR,"Arista Networks, Inc.",
C-1KT,"Keysight Technologies, Inc.",
C-BBCA0,PT Bank Central Asia Tbk,
C-EGNC,Constellation Energy Corporation,
C-LDNB,London Stock Exchange Group plc,
C-0I9F,"Digital Realty Trust, Inc.",
C-0KXA,"Rockwell Automation, Inc.",
C-0139,HP Inc.,
C-8642,Barclays PLC,
C-0QPS,Givaudan SA,
C-0A0D,Alcon Inc.,
C-0JW2,M&T Bank Corporation,
C-0M18,"Workday, Inc.",
C-0IBC,Discover Financial Services,
C-004520,Koninklijke Ahold Delhaize N.V.,
C-CF6V,Constellation Software Inc.,
C-0RR8,Baker Hughes Company,
C-3382,"Seven & i Holdings Co., Ltd.",
C-3AG1,SoftBank Corp.,
C-2EWB,Oversea-Chinese Banking Corporation Limited,
C-0QZ5,Cognizant Technology Solutions Corporation,
C-0IKW,Fastenal Company,
C-23780,Prudential plc,
C-0KW1,"Republic Services, Inc.",
C-6981,"Murata Manufacturing Co., Ltd.",
C-0KS2,Public Service Enterprise Group Incorporated,
C-0LSL,"WEC Energy Group, Inc.",
C-0YCP,Aptiv PLC,
C-0R12,Keurig Dr Pepper Inc.,
C-0KEI,"PPG Industries, Inc.",
C-ODDF,"Old Dominion Freight Line, Inc.",
C-0A2D,CRH plc,
C-0L9G,State Street Corporation,
C-0R22,Barrick Gold Corporation,
C-020150,Capgemini SE,
C-0IW7,Global Payments Inc.,
C-0L2T,"Samsung SDI Co., Ltd.",
C-CEG71,Cenovus Energy Inc.,
C-AP16,BAE Systems plc,
C-0LP3,"Verisk Analytics, Inc.",
C-0JN,DSV A/S,
C-0KNY,"T. Rowe Price Group, Inc.",
C-0KCI,"ONEOK, Inc.",
C-0LSZ,"Walgreens Boots Alliance, Inc.",
C-0MGB,Genmab A/S,
C-0I6K,"D.R. Horton, Inc.",
C-8411,"Mizuho Financial Group, Inc.",
C-0IZI,"W.W. Grainger, Inc.",
C-AAW00,"América Móvil, S.A.B. de C.V.",
C-0JRV,The Kraft Heinz Company,
C-1398,Industrial and Commercial Bank of China Limited,
C-0005F6,Holcim Ltd,
C-4660,"Oriental Land Co., Ltd.",
C-03951,Wolters Kluwer N.V.,
C-0221H0,UniCredit S.p.A.,
C-45C,"CrowdStrike Holdings, Inc.",
C-NAPF1,Naspers Limited,
C-TCLA2,Transurban Group,
C-0ITV,"Gartner, Inc.",
C-39880,Bank of China Limited,
C-0IJ2,Eversource Energy,
C-0009Y,Corning Incorporated,
C-0QWI,"Industria de Diseño Textil, S.A.",
C-7DB,"Diamondback Energy, Inc.",
C-0009H3,Baxter International Inc.,
C-WGL2,Woolworths Group Limited,
C-0RDT,Ferrari N.V.,
C-0VJA,Sun Life Financial Inc.,
C-4503,Astellas Pharma Inc.,
C-0TIV,Fanuc Corporation,
C-0HEW,"American Water Works Company, Inc.",
C-0LC,Ashtead Group plc,
C-A0515,"LG Chem, Ltd.",
C-0QYZ,Franco-Nevada Corporation,
C-0003U4,RWE Aktiengesellschaft,
C-I5U,Intact Financial Corporation,
C-0LO3,Veeva Systems Inc.,
C-24W2,Ferguson plc,
C-NBK0,National Bank of Kuwait S.A.K.P.,
C-7733,Olympus Corporation,
C-0NMK,Vestas Wind Systems A/S,
C-0Y4Q,Willis Towers Watson Public Limited Company,
C-C1PR,"Copart, Inc.",
C-0004,Engie SA,
C-0HGI,"Apollo Global Management, Inc.",
C-0IUX,Genuine Parts Company,
C-0HD2,"Alnylam Pharmaceuticals, Inc.",
C-37342,Nidec Corporation,
C-QNBK,Qatar National Bank (Q.P.S.C.),
C-5006B,Hindustan Unilever Limited,
C-0HQP,"CBRE Group, Inc.",
C-6273,SMC Corporation,
C-0HAF,Nokia Oyj,
C-BFN5,Itaú Unibanco Holding S.A.,
C-81240,CDW Corporation,
C-000940,eBay Inc.,
C-0IBD,"Warner Bros. Discovery, Inc.",
C-0IM1,Fifth Third Bancorp,
C-0INB,STMicroelectronics N.V.,
C-27411,United Overseas Bank Limited,
C-0206L,Dassault Systèmes SE,
C-0LIY,"United Rentals, Inc.",
C-0RF3,International Flavors & Fragrances Inc.,
C-0LWG,Weyerhaeuser Company,
C-0032D1,Swiss Re AG,
C-09902,"The Hartford Financial Services Group, Inc.",
C-0HF3,AmerisourceBergen Corporation,
C-NA1,National Bank of Canada,
C-0K6G,"NetEase, Inc.",
C-0LQO,"VMware, Inc.",
C-0KU1,"Raymond James Financial, Inc.",
C-0HJO,"AvalonBay Communities, Inc.",
C-0P2W,"Amadeus IT Group, S.A.",
C-0LRK,Vulcan Materials Company,
C-0Q0G,Fujitsu Limited,
C-29143,Japan Tobacco Inc.,
C-ETIA1,Emirates Telecommunications Group Company PJSC,
C-0HCH,"Alexandria Real Estate Equities, Inc.",
C-0QQD,"Zimmer Biomet Holdings, Inc.",
C-0KO5,"Principal Financial Group, Inc.",
C-0REL,Tractor Supply Company,
C-3225,Axis Bank Limited,
C-0O14,MERCK Kommanditgesellschaft auf Aktien,
C-341,Bajaj Finance Limited,
C-0IRE,Fortive Corporation,
C-0HAG,Sampo Oyj,
C-0QOQ,Partners Group Holding AG,
C-0IFJ,Edison International,
C-0II3,Equifax Inc.,
C-0K4T,"Nasdaq, Inc.",
C-0JU0,Lennar Corporation,
C-0IIB,Equity Residential,
C-0009P4,Koninklijke DSM N.V.,
C-0N,ASSA ABLOY AB (publ),
C-FEP7,Flutter Entertainment plc,
C-81R,First Republic Bank,
C-0GRX,Hexagon AB (publ),
C-0128X2,Heineken N.V.,
C-0HQU,"CF Industries Holdings, Inc.",
C-0JZ0,"Martin Marietta Materials, Inc.",
C-0025L3,BYD Company Limited,
C-0011Q,Canon Inc.,
C-0IHP,Entergy Corporation,
C-0JSY,Laboratory Corporation of America Holdings,
C-0117Q1,adidas AG,
C-0203X,Compagnie de Saint-Gobain S.A.,
C-0QKF,Chocoladefabriken Lindt & Sprüngli AG,
C-0I6Q,DTE Energy Company,
C-0JY9,Marathon Oil Corporation,
C-0HRZ,Coterra Energy Inc.,
C-69020,DENSO Corporation,
C-53242,Bharti Airtel Limited,
C-FABP,First Abu Dhabi Bank P.J.S.C.,
C-0QR3,PG&E Corporation,
C-BC77,Imperial Brands PLC,
C-0HE2,Ameren Corporation,
C-2224,Saudi Arabian Oil Company,
C-0EDD,LyondellBasell Industries N.V.,
C-0HL1,"Baidu, Inc.",
C-0LIB,"Ulta Beauty, Inc.",
C-ACCG0,Arch Capital Group Ltd.,
C-0IJV,Extra Space Storage Inc.,
C-5GD0,Ingersoll Rand Inc.,
C-0J72,Huntington Bancshares Incorporated,
C-0KV3,Regions Financial Corporation,
C-0R2J,Agnico Eagle Mines Limited,
C-0HG3,"ANSYS, Inc.",
C-0HQ3,Brown-Forman Corporation,
C-0M300,"Yum China Holdings, Inc.",
C-0068H0,Legrand SA,
C-0HTG,"Cardinal Health, Inc.",
C-0IPB,FirstEnergy Corp.,
C-GOV00,Insulet Corporation,
C-0KSR,"Quanta Services, Inc.",
C-0LF5,"The Trade Desk, Inc.",
C-0000P4,Deutsche Bank Aktiengesellschaft,
C-38301,Bridgestone Corporation,
C-16DJ,SSE plc,
C-4FN,"Grupo Financiero Banorte, S.A.B. de C.V.",
C-0QW0,argenx SE,
C-0058C2,Hyundai Motor Company,
C-0HYP,"Citizens Financial Group, Inc.",
C-0JZS,"McCormick & Company, Incorporated",
C-0KEJ,PPL Corporation,
C-KFH,Kuwait Finance House K.S.C.P.,
C-004331,E.ON SE,
C-0006O2,"Repsol, S.A.",
C-0006G3,Komatsu Ltd.,
C-0M29,Xylem Inc.,
C-37IS,Tesco PLC,
C-2010,Saudi Basic Industries Corporation,
C-E3M0,"EPAM Systems, Inc.",
C-0R9C,"Cellnex Telecom, S.A.",
C-1FW0,WuXi Biologics (Cayman) Inc.,
C-0LTI,Waters Corporation,
C-0O46,Neste Oyj,
C-3WMM,"Wal-Mart de México, S.A.B. de C.V.",
C-0A2Q,Orange S.A.,
C-0ICP,Dover Corporation,
C-TDY00,Teledyne Technologies Incorporated,
C-4IV0,Invitation Homes Inc.,
C-BBRI1,PT Bank Rakyat Indonesia (Persero) Tbk,
C-360U,"China Merchants Bank Co., Ltd.",
C-45430,Terumo Corporation,
C-0LC3,Synchrony Financial,
C-7LI,LPL Financial Holdings Inc.,
C-0LHR,"Tyson Foods, Inc.",
C-FAND,FirstRand Limited,
C-02M,The Mosaic Company,
C-MHD2,"Molina Healthcare, Inc.",
C-0J51,Hewlett Packard Enterprise Company,
C-0A2Y,"Telefónica, S.A.",
C-12F,Fortis Inc.,
C-18101,Xiaomi Corporation,
C-0HC0,Sandvik AB (publ),
C-GDGR0,Goodman Group,
C-00729,Société Générale Société anonyme,
C-0NV5,UPM-Kymmene Oyj,
C-P5P,Pembina Pipeline Corporation,
C-0K1E,"Mid-America Apartment Communities, Inc.",
C-0H6G,The AES Corporation,
C-0LOZ,"VeriSign, Inc.",
C-0K78,Assicurazioni Generali S.p.A.,
C-0HL8,Banco Bradesco S.A.,
C-0Q89,Thomson Reuters Corporation,
C-AMSN0,Fortescue Metals Group Limited,
C-0QYR,Panasonic Holdings Corporation,
C-0J5Q,"Hologic, Inc.",
C-0A1O,"Zoom Video Communications, Inc.",
C-08T,Tourmaline Oil Corp.,
C-0A18,CGI Inc.,
C-0HVF,"CenterPoint Energy, Inc.",
C-0IZ8,Henkel AG & Co. KGaA,
C-DAT6,"Datadog, Inc.",
C-003142,Compagnie Générale des Établissements Michelin Société en commandite par actions,
C-0IJR,"Expeditors International of Washington, Inc.",
C-0GUX,Skandinaviska Enskilda Banken AB (publ),
C-0R13,"Church & Dwight Co., Inc.",
C-SD3M,"Steel Dynamics, Inc.",
C-0JQR,KeyCorp,
C-0R6,Restaurant Brands International Inc.,
C-0I77,"Darden Restaurants, Inc.",
C-SG9A,Seagen Inc.,
C-0012BD,Mitsubishi Electric Corporation,
C-0R1R,Kellogg Company,
C-WPS5,"West Pharmaceutical Services, Inc.",
C-0RQ6,Evolution AB (publ),
C-0YSU,Epiroc AB (publ),
C-0LO4,"Ventas, Inc.",
C-0945R,Vonovia SE,
C-4452,Kao Corporation,
C-0KSX,Quest Diagnostics Incorporated,
C-0K91,Northern Trust Corporation,
C-094370,Ørsted A/S,
C-0I0J,The Clorox Company,
C-0QQ2,Geberit AG,
C-IC02,IDEX Corporation,
